Character|zh-CN
Narrative|——这里是囚牢。
Narrative|樱羽艾玛只想捂紧耳朵，抵挡身边涌现的恶意。
Narrative|可是，她被无形的锁链束缚着，就像个囚犯一样，连捂紧耳朵也做不到。
Narrative|有时被锁在厕所隔间里。
Narrative|有时课本被撕毁丢弃。
Narrative|有时室内鞋里被塞满了虫。
Narrative|有时被集体暴打施以私刑。
Narrative|有时被绑起来当众羞辱。
Narrative|有时。有时。有时——
Narrative|霸凌日益变本加厉，她的心脏好似灌铅般愈发沉重。
Narrative|住手吧。住手。住手。住手住手住手。
Narrative|不要再欺负人了！！
Narrative|唯有这句话不管怎样都说不出口。
Narrative|被辱骂、被欺侮、被嘲笑，每日如此，不见尽头。
Narrative|如此残酷的行为，竟长期持续，未曾断绝。
Narrative|她不禁开始责备比任何人都胆小的自己。她太过讨厌自己，甚至想要就此消失。
Narrative|对一成不变的日常感到绝望的艾玛，堕入了无边的黑暗之中。
Narrative|周围的少女们，不断地发出欢声笑语。
Narrative|不想被讨厌，不想被讨厌啊。为什么要这样？可不可以不要这样。
Narrative|心在持续发出沙哑的呜咽。
Narrative|长期以来，艾玛一直在责备着自己——
Narrative|但某天她忽然发现了答案。
Narrative|啊，对了——
Narrative|大家都去死就好了。
Ema|——不对！
Narrative|樱羽艾玛大喊着，爬起身来。
Narrative|大概是因为做了噩梦，她的呼吸相当紊乱，而且满身都是汗水。
Narrative|原来是做梦。她才刚安下心来——眼前的光景就逐渐清晰了起来。
Ema|咦，怎么回事，这里是……？
Narrative|醒来的艾玛发现，这里不是她自己的房间。这是张做工粗糙的双层床，她睡在了这里的下铺。
Narrative|床紧贴着老旧的石墙，而石墙似乎透着一股寒气，总令人不禁为之一颤。
Narrative|室内光线昏暗，空气也并不畅通。并且——有一道铁栅栏限制了自由。
Ema|牢、牢房……！？为什么！？
Narrative|艾玛陷入了恐慌，拼命回想着睡前的记忆。
Ema|（昨天是想到明天我就要上高中了……很开心地睡着了才对）
Narrative|昨天是春假的最后一天。
Narrative|艾玛早早地洗了澡，换了睡衣，早早地钻进了被窝里。
Ema|（记得睡觉前……我还看着挂在墙上的全新的高中制服）
Narrative|望着那件明天就要穿上的制服，艾玛露出了十分幸福的笑容。
Ema|（还下了决心，一切要重头来过……）
Narrative|然后在温暖的被窝包裹下，闭上了双眼。
Narrative|可是现在，她正被关在牢房里。身上还穿着自己从没见过的衣服。
Ema|（这是噩梦的后续……？）
Narrative|但，四周的一切却如此真实。
Narrative|她大致观察了下室内。四周被结实的石墙包围，只有铁栅栏一面联通着过道。
Narrative|墙上安装有电视屏幕。
Narrative|在透着中世纪气息的古牢里面，这块现代随处可见的显示屏幕实在是格格不入。
Ema|我说，这里究竟是什么地方！？
Narrative|艾玛抓着铁栅栏，喊出声来。
Narrative|紧接着，远远地从其他地方传来了其他少女们的叫喊声。
Unknown|竟把本小姐关在这种地方！究竟是什么意思啊！？
Unknown|监禁少女可是犯罪欸！虽然不知是谁，可干出来这种事，这辈子就到头了欸！？
Unknown|喂，开什么玩笑，我要杀了你！放我出去！！
Ema|（……太好了，被关进来的不止我一个人）
Narrative|现场忽然吵闹起来，艾玛的脸上露出了安心。紧接着——
Unknown|——能不能给我安静一下？
Narrative|从艾玛身后冷不防传来一道清冽的声音。
